brand,categories,name,reviews.rating,reviews.date
Amazon,"Categories,Amazon Devices,Streaming Media Players",Certified Refurbished Amazon Fire TV (Previous Generation - 1st),4.0,2014-04-06 00:00:00+00:00
Amazon,"Categories,Amazon Devices,Streaming Media Players",Certified Refurbished Amazon Fire TV (Previous Generation - 1st),4.0,2014-04-06 00:00:00+00:00
Amazon,"Categories,Amazon Devices,Streaming Media Players",Certified Refurbished Amazon Fire TV (Previous Generation - 1st),5.0,
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2017-01-30 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2016-11-06 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,4.0,2016-11-11 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2016-11-28 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,3.0,2016-11-17 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2017-04-20 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2017-01-12 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2017-01-11 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Indigo Fabric,5.0,2017-01-30 00:00:00+00:00
Amazon,Amazon Devices,Amazon Tap Sling Cover - Tangerine,4.0,2016-04-01 00:00:00+00:00
Amazon,Amazon Devices,Amazon Tap Sling Cover - Tangerine,5.0,
Amazon,Amazon Devices,Amazon Tap Sling Cover - Tangerine,5.0,2016-12-15 00:00:00+00:00
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",3.0,
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",4.0,2013-11-07 00:00:00+00:00
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",1.0,2015-03-15 00:00:00+00:00
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",3.0,2014-10-30 00:00:00+00:00
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",3.0,
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",3.0,
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",4.0,2013-11-07 00:00:00+00:00
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",4.0,2013-11-07 00:00:00+00:00
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",5.0,
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",4.0,2013-11-07 00:00:00+00:00
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",3.0,
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",5.0,
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",3.0,
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",3.0,
Amazon,Amazon Devices,"Kindle Fire HDX 8.9""",4.0,2013-11-07 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2017-01-30 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2016-11-06 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,4.0,2016-11-11 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2016-11-28 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,3.0,2016-11-17 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2017-04-20 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2017-01-12 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2017-01-11 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Saddle Tan Leather,5.0,2017-01-30 00:00:00+00:00
Amazon,Amazon Devices,Amazon Tap Sling Cover - Blue,4.0,2016-04-01 00:00:00+00:00
Amazon,Amazon Devices,Amazon Tap Sling Cover - Blue,5.0,
Amazon,Amazon Devices,Amazon Tap Sling Cover - Blue,5.0,2016-12-15 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,5.0,2017-01-30 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,5.0,2016-11-06 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,4.0,2016-11-11 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,5.0,2016-11-28 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,3.0,2016-11-17 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,5.0,2017-04-20 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,5.0,2017-01-12 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Sandstone Fabric,5.0,
Amazon,Amazon Devices,All-New Amazon Fire TV Game Controller,2.0,2016-03-17 00:00:00+00:00
Amazon,Amazon Devices,All-New Amazon Fire TV Game Controller,3.0,2017-02-03 00:00:00+00:00
Amazon,Amazon Devices,All-New Amazon Fire TV Game Controller,5.0,2016-07-27 00:00:00+00:00
Amazon,Amazon Devices,All-New Amazon Fire TV Game Controller,5.0,2016-09-07 00:00:00+00:00
Amazon,Amazon Devices,All-New Amazon Fire TV Game Controller,5.0,2017-04-22 00:00:00+00:00
Amazon,Amazon Devices,All-New Amazon Fire TV Game Controller,4.0,2017-06-11 00:00:00+00:00
Amazon,Amazon Devices,All-New Amazon Fire TV Game Controller,5.0,2016-09-12 00:00:00+00:00
Amazon,Amazon Devices,Fire HD 7 Tablet,5.0,
Amazon,Amazon Devices,Fire HD 7 Tablet,5.0,
Amazon,Amazon Devices,Fire HD 7 Tablet,5.0,2015-04-22 00:00:00+00:00
Amazon,Amazon Devices,Fire HD 7 Tablet,5.0,
Amazon,Amazon Devices,Amazon Fire TV Game Controller,2.0,2016-03-17 00:00:00+00:00
Amazon,Amazon Devices,Amazon Fire TV Game Controller,3.0,2017-02-03 00:00:00+00:00
Amazon,Amazon Devices,Amazon Fire TV Game Controller,5.0,2017-04-22 00:00:00+00:00
Amazon,Amazon Devices,Amazon Fire TV Game Controller,5.0,2016-09-07 00:00:00+00:00
Amazon,Amazon Devices,Amazon Fire TV Game Controller,5.0,2016-09-12 00:00:00+00:00
Amazon,Amazon Devices,Amazon Fire TV Game Controller,5.0,2017-01-24 00:00:00+00:00
Amazon,Amazon Devices,Amazon Fire TV Game Controller,1.0,2016-09-09 00:00:00+00:00
Amazon,Amazon Devices,Amazon Fire TV Game Controller,4.0,2017-04-23 00:00:00+00:00
Amazon,Amazon Devices,Amazon Fire TV Game Controller,5.0,2016-07-27 00:00:00+00:00
Amazon,Amazon Devices,Amazon Fire TV Game Controller,5.0,2017-01-13 00:00:00+00:00
Amazon,Amazon Devices,Amazon Fire TV Game Controller,3.0,2017-07-11 00:00:00+00:00
Amazon,Amazon Devices,Amazon Tap Sling Cover - White,4.0,2016-04-01 00:00:00+00:00
Amazon,Amazon Devices,Amazon Tap Sling Cover - White,5.0,
Amazon,Amazon Devices,Amazon Tap Sling Cover - White,5.0,2016-12-15 00:00:00+00:00
Amazon,Amazon Devices,Amazon Tap Sling Cover - Magenta,4.0,2016-04-01 00:00:00+00:00
Amazon,Amazon Devices,Amazon Tap Sling Cover - Magenta,5.0,
Amazon,Amazon Devices,Amazon Tap Sling Cover - Magenta,5.0,2016-12-15 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Kindle E-reader,5.0,
Amazon,Amazon Devices,Certified Refurbished Kindle E-reader,5.0,2014-11-07 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Kindle E-reader,4.0,
Amazon,Amazon Devices,Amazon Tap Sling Cover - Green,4.0,2016-04-01 00:00:00+00:00
Amazon,Amazon Devices,Amazon Tap Sling Cover - Green,5.0,
Amazon,Amazon Devices,Amazon Tap Sling Cover - Green,5.0,2016-12-15 00:00:00+00:00
Amazon,Amazon Devices,Kindle Paperwhite E-reader - Black,5.0,2017-05-29 00:00:00+00:00
Amazon,Amazon Devices,Kindle Paperwhite E-reader - Black,5.0,2015-07-01 00:00:00+00:00
Amazon,Amazon Devices,Kindle Paperwhite E-reader - Black,5.0,
Amazon,Amazon Devices,Kindle Paperwhite 3G,5.0,2017-05-29 00:00:00+00:00
Amazon,Amazon Devices,Kindle Paperwhite 3G,5.0,2015-07-01 00:00:00+00:00
Amazon,Amazon Devices,Kindle Paperwhite 3G,5.0,
Amazon,Amazon Devices,Fire HD 10 Tablet with Alexa,5.0,
Amazon,Amazon Devices,Fire HD 10 Tablet with Alexa,3.0,
Amazon,Amazon Devices,Fire HD 10 Tablet with Alexa,5.0,
Amazon,Amazon Devices,Fire HD 10 Tablet with Alexa,5.0,
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,5.0,2017-01-30 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,5.0,2016-11-06 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,4.0,2016-11-11 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,5.0,2016-11-28 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,3.0,2016-11-17 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,5.0,2017-04-20 00:00:00+00:00
